,filename,width,height,class,xmin,ymin,xmax,ymax,label
0,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-329_jpg.rf.ff6ab003a9ee4a2048a0ee1d5d03df07.jpg,640,640,Cardiac,465,99,540,189,0
1,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-329_jpg.rf.ff6ab003a9ee4a2048a0ee1d5d03df07.jpg,640,640,Cardiac,478,336,540,420,0
2,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-329_jpg.rf.ff6ab003a9ee4a2048a0ee1d5d03df07.jpg,640,640,Cardiac,84,55,158,181,0
3,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-329_jpg.rf.ff6ab003a9ee4a2048a0ee1d5d03df07.jpg,640,640,Cardiac,220,222,316,491,0
4,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-329_jpg.rf.ff6ab003a9ee4a2048a0ee1d5d03df07.jpg,640,640,Cardiac,339,432,397,542,0
5,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-460_jpg.rf.ff375ce2640a60993cc1356fc004b6d4.jpg,640,640,Spiderman,191,119,293,196,1
6,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-460_jpg.rf.ff375ce2640a60993cc1356fc004b6d4.jpg,640,640,Dr Doom,372,204,515,285,2
7,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-460_jpg.rf.ff375ce2640a60993cc1356fc004b6d4.jpg,640,640,Spiderman,185,297,333,385,1
8,Amazing-Spider-Man-Epic-Collection-Return-of-the-Sinister-Six-460_jpg.rf.ff375ce2640a60993cc1356fc004b6d4.jpg,640,640,Dr Doom,42,133,168,439,2
9,0028_jpg.rf.7b46a07a459c2e6461851d3103472ba2.jpg,640,640,Wolverine,54,497,104,545,3
10,0028_jpg.rf.7b46a07a459c2e6461851d3103472ba2.jpg,640,640,Cyclops,88,32,190,166,4
11,0028_jpg.rf.7b46a07a459c2e6461851d3103472ba2.jpg,640,640,Wolverine,302,393,362,463,3
12,0028_jpg.rf.7b46a07a459c2e6461851d3103472ba2.jpg,640,640,Storm,308,301,361,389,5
